

# Relatório de Simulação.
# GRU - Gás de Rede Unidimensional
# Parâmetros da simulação:
# 

0 -60.000000 2.972222 
10 -64.000000 4.638889 
20 -66.000000 5.111111 
30 -62.000000 4.944444 
40 -59.000000 5.694444 
50 -61.000000 8.833333 
60 -61.000000 10.305556 
70 -63.000000 12.277778 
80 -62.000000 12.625000 
90 -61.000000 13.361111 
100 -61.000000 16.263889 
110 -59.000000 18.388889 
120 -60.000000 21.527778 
130 -59.000000 21.555556 
140 -64.000000 21.138889 
150 -61.000000 23.402778 
160 -60.000000 23.111111 
170 -62.000000 26.305556 
180 -56.000000 30.555556 
190 -62.000000 33.791667 
200 -59.000000 34.875000 
210 -62.000000 36.902778 
220 -64.000000 35.319444 
230 -61.000000 35.708333 
240 -62.000000 35.236111 
250 -64.000000 34.763889 
260 -62.000000 36.402778 
270 -61.000000 36.236111 
280 -64.000000 34.569444 
290 -61.000000 34.902778 
300 -61.000000 34.902778 
310 -60.000000 36.444444 
320 -60.000000 38.694444 
330 -61.000000 41.527778 
340 -65.000000 38.847222 
350 -65.000000 38.388889 
360 -64.000000 38.319444 
370 -64.000000 39.319444 
380 -63.000000 41.361111 
390 -61.000000 41.152778 
400 -65.000000 42.361111 
410 -61.000000 41.805556 
420 -61.000000 43.333333 
430 -63.000000 44.291667 
440 -64.000000 45.277778 
450 -61.000000 43.375000 
460 -59.000000 45.250000 
470 -63.000000 47.944444 
480 -62.000000 46.097222 
490 -63.000000 45.500000 
500 -64.000000 47.625000 
510 -62.000000 46.708333 
520 -63.000000 44.388889 
530 -62.000000 43.708333 
540 -63.000000 44.652778 
550 -61.000000 44.583333 
560 -62.000000 49.180556 
570 -62.000000 50.972222 
580 -62.000000 49.972222 
590 -63.000000 49.652778 
600 -65.000000 49.402778 
610 -63.000000 49.013889 
620 -61.000000 52.277778 
630 -62.000000 53.763889 
640 -62.000000 51.333333 
650 -66.000000 54.638889 
660 -65.000000 55.736111 
670 -63.000000 57.388889 
