# GRU - Simulação de Monte Carlo para o Gas de Rede Unidimensional. LCC/PPG-CIMA/FUP/UnB.
# Versão: 2015.09.30

# Parâmetros da simulação:
# ./gru -r -L 100 -N 72 -t 10000 -s 10 -T 0.4 -a dados/teste-novo-new.dat 

2110 -64.000000 127.555556 
2120 -61.000000 128.513889 
2130 -65.000000 129.958333 
2140 -65.000000 130.194444 
2150 -65.000000 129.819444 
2160 -61.000000 129.861111 
2170 -64.000000 131.305556 
2180 -63.000000 136.763889 
2190 -61.000000 133.583333 
2200 -63.000000 134.111111 
2210 -65.000000 134.777778 
2220 -63.000000 133.888889 
2230 -62.000000 130.902778 
2240 -62.000000 136.166667 
2250 -63.000000 137.902778 
2260 -64.000000 142.111111 
2270 -62.000000 145.527778 
2280 -60.000000 155.402778 
2290 -63.000000 158.777778 
2300 -62.000000 159.305556 
2310 -58.000000 151.097222 
2320 -59.000000 157.291667 
2330 -61.000000 158.430556 
2340 -62.000000 162.625000 
2350 -60.000000 161.166667 
2360 -61.000000 158.180556 
2370 -60.000000 159.736111 
2380 -59.000000 161.097222 
2390 -59.000000 164.819444 
2400 -59.000000 162.888889 
2410 -61.000000 167.305556 
2420 -63.000000 176.722222 
2430 -62.000000 179.236111 
2440 -62.000000 177.000000 
2450 -62.000000 183.680556 
2460 -64.000000 190.708333 
2470 -64.000000 185.791667 
2480 -60.000000 182.361111 
2490 -58.000000 175.305556 
2500 -63.000000 170.250000 
2510 -60.000000 169.291667 
2520 -61.000000 171.986111 
2530 -60.000000 177.236111 
2540 -61.000000 174.236111 
2550 -60.000000 178.277778 
2560 -63.000000 175.152778 
2570 -63.000000 173.625000 
2580 -61.000000 174.138889 
2590 -62.000000 173.638889 
2600 -63.000000 172.694444 
2610 -60.000000 174.722222 
2620 -63.000000 176.305556 
2630 -65.000000 177.152778 
2640 -62.000000 174.902778 
2650 -62.000000 172.111111 
2660 -62.000000 174.083333 
2670 -62.000000 173.916667 
2680 -61.000000 179.333333 
2690 -61.000000 184.152778 
2700 -62.000000 184.611111 
2710 -61.000000 188.777778 
2720 -61.000000 196.666667 
2730 -61.000000 197.569444 
2740 -62.000000 203.166667 
2750 -62.000000 205.138889 
2760 -62.000000 202.513889 
2770 -63.000000 199.569444 
2780 -62.000000 203.763889 
2790 -64.000000 202.694444 
2800 -65.000000 197.666667 
2810 -61.000000 197.652778 
2820 -62.000000 199.541667 
2830 -59.000000 192.486111 
2840 -61.000000 198.666667 
2850 -60.000000 190.597222 
2860 -62.000000 198.277778 
2870 -63.000000 201.333333 
2880 -62.000000 201.597222 
2890 -62.000000 199.875000 
2900 -61.000000 201.958333 
2910 -60.000000 198.958333 
2920 -62.000000 196.916667 
2930 -62.000000 200.069444 
2940 -65.000000 203.527778 
2950 -63.000000 199.361111 
2960 -62.000000 201.805556 
2970 -64.000000 200.458333 
2980 -64.000000 209.875000 
2990 -63.000000 208.055556 
3000 -61.000000 204.861111 
3010 -62.000000 199.222222 
3020 -61.000000 201.305556 
3030 -58.000000 196.652778 
3040 -60.000000 201.069444 
3050 -62.000000 205.444444 
3060 -62.000000 204.597222 
3070 -63.000000 205.527778 
3080 -65.000000 207.569444 
3090 -63.000000 211.319444 
3100 -60.000000 216.472222 
3110 -58.000000 222.958333 
3120 -61.000000 217.527778 
3130 -59.000000 215.166667 
3140 -63.000000 216.027778 
3150 -62.000000 210.527778 
3160 -60.000000 207.500000 
3170 -61.000000 205.555556 
3180 -61.000000 201.055556 
3190 -60.000000 197.847222 
3200 -60.000000 205.222222 
