

# Relatório de Simulação.
# GRU - Gás de Rede Unidimensional
# Parâmetros da simulação:
# ./gru -r -L 100 -N 72 -t 10000 -s 10 -T 0.4 -a teste-novo4.dat 

2130 -60.000000 124.888889 
2140 -62.000000 120.875000 
2150 -61.000000 120.430556 
2160 -61.000000 119.375000 
2170 -59.000000 121.638889 
2180 -59.000000 119.027778 
2190 -60.000000 125.652778 
2200 -62.000000 125.597222 
2210 -61.000000 124.597222 
2220 -63.000000 128.305556 
2230 -60.000000 124.027778 
2240 -62.000000 124.944444 
2250 -63.000000 125.555556 
2260 -65.000000 125.277778 
2270 -63.000000 127.694444 
2280 -61.000000 129.861111 
2290 -62.000000 134.125000 
2300 -61.000000 131.416667 
2310 -63.000000 134.888889 
2320 -61.000000 144.166667 
2330 -63.000000 146.027778 
2340 -61.000000 149.638889 
2350 -61.000000 153.208333 
2360 -60.000000 162.638889 
2370 -60.000000 156.652778 
2380 -62.000000 159.152778 
2390 -63.000000 163.180556 
2400 -61.000000 162.916667 
2410 -60.000000 165.486111 
2420 -59.000000 161.555556 
2430 -63.000000 156.194444 
2440 -61.000000 153.930556 
2450 -61.000000 155.555556 
2460 -61.000000 150.500000 
2470 -63.000000 146.861111 
2480 -61.000000 148.222222 
2490 -60.000000 150.694444 
2500 -62.000000 156.013889 
2510 -60.000000 162.569444 
2520 -63.000000 157.694444 
2530 -61.000000 164.055556 
2540 -62.000000 167.972222 
2550 -62.000000 178.500000 
2560 -61.000000 175.833333 
2570 -62.000000 179.500000 
2580 -63.000000 168.277778 
2590 -62.000000 168.958333 
2600 -65.000000 172.833333 
2610 -67.000000 170.958333 
2620 -64.000000 175.027778 
2630 -65.000000 177.791667 
2640 -67.000000 167.930556 
2650 -65.000000 168.402778 
2660 -62.000000 165.500000 
2670 -62.000000 165.777778 
2680 -63.000000 156.333333 
2690 -63.000000 157.055556 
2700 -63.000000 167.333333 
2710 -62.000000 169.180556 
2720 -62.000000 170.277778 
2730 -64.000000 170.611111 
2740 -64.000000 170.777778 
2750 -62.000000 177.055556 
2760 -66.000000 173.888889 
2770 -65.000000 176.972222 
2780 -65.000000 179.333333 
2790 -64.000000 181.277778 
2800 -64.000000 178.444444 
2810 -62.000000 175.791667 
2820 -64.000000 180.069444 
2830 -63.000000 183.347222 
2840 -63.000000 187.097222 
2850 -63.000000 192.166667 
2860 -64.000000 189.166667 
2870 -61.000000 195.444444 
2880 -62.000000 191.013889 
2890 -60.000000 198.166667 
2900 -61.000000 203.013889 
2910 -64.000000 205.444444 
2920 -62.000000 205.750000 
2930 -64.000000 204.930556 
2940 -62.000000 206.986111 
2950 -65.000000 207.972222 
2960 -63.000000 207.763889 
2970 -60.000000 205.555556 
2980 -60.000000 210.555556 
2990 -61.000000 218.736111 
3000 -61.000000 214.250000 
3010 -61.000000 215.416667 
3020 -62.000000 216.888889 
3030 -60.000000 217.222222 
3040 -63.000000 213.916667 
3050 -60.000000 213.277778 
3060 -61.000000 213.583333 
3070 -60.000000 216.986111 
3080 -61.000000 214.013889 
3090 -59.000000 205.888889 
3100 -55.000000 207.472222 
3110 -59.000000 212.055556 
3120 -61.000000 207.652778 
3130 -61.000000 208.888889 
3140 -62.000000 206.236111 
3150 -62.000000 200.930556 
3160 -60.000000 200.555556 
3170 -61.000000 200.652778 
3180 -61.000000 204.083333 
3190 -60.000000 208.888889 
3200 -63.000000 208.930556 
3210 -61.000000 206.833333 
3220 -60.000000 217.638889 
3230 -62.000000 218.902778 
3240 -63.000000 215.416667 
3250 -63.000000 220.791667 
3260 -63.000000 215.847222 
3270 -64.000000 220.666667 
3280 -60.000000 230.013889 
3290 -61.000000 227.805556 
3300 -61.000000 228.194444 
3310 -59.000000 229.555556 
3320 -61.000000 236.958333 
3330 -61.000000 235.902778 
3340 -60.000000 241.625000 
3350 -62.000000 240.736111 
3360 -63.000000 248.597222 
3370 -65.000000 250.125000 
3380 -67.000000 255.777778 
3390 -66.000000 262.250000 
3400 -65.000000 261.416667 
3410 -63.000000 264.861111 
3420 -63.000000 259.861111 
3430 -63.000000 258.763889 
3440 -63.000000 259.236111 
3450 -63.000000 262.708333 
3460 -64.000000 262.333333 
3470 -65.000000 264.638889 
3480 -65.000000 264.791667 
3490 -64.000000 265.930556 
3500 -63.000000 262.444444 
3510 -64.000000 261.027778 
3520 -63.000000 256.958333 
3530 -63.000000 256.111111 
3540 -65.000000 255.138889 
3550 -63.000000 254.541667 
3560 -65.000000 252.805556 
3570 -65.000000 253.319444 
3580 -64.000000 250.027778 
3590 -63.000000 251.611111 
3600 -64.000000 254.055556 
3610 -63.000000 251.069444 
3620 -61.000000 261.944444 
3630 -60.000000 264.097222 
3640 -61.000000 259.694444 
3650 -62.000000 252.111111 
3660 -63.000000 247.208333 
3670 -63.000000 240.777778 
3680 -63.000000 236.263889 
3690 -64.000000 235.986111 
3700 -65.000000 237.750000 
3710 -63.000000 239.027778 
3720 -64.000000 239.986111 
3730 -63.000000 235.986111 
3740 -63.000000 233.263889 
3750 -63.000000 237.861111 
3760 -64.000000 240.638889 
3770 -63.000000 241.305556 
3780 -62.000000 242.291667 
3790 -62.000000 242.986111 
3800 -64.000000 243.458333 
3810 -65.000000 245.680556 
3820 -63.000000 244.583333 
3830 -63.000000 240.847222 
3840 -65.000000 237.569444 
3850 -65.000000 238.361111 
3860 -64.000000 239.500000 
3870 -63.000000 234.541667 
3880 -62.000000 225.027778 
3890 -65.000000 224.847222 
3900 -65.000000 224.458333 
3910 -65.000000 223.583333 
3920 -66.000000 227.763889 
3930 -64.000000 229.694444 
3940 -60.000000 233.902778 
3950 -63.000000 231.305556 
3960 -64.000000 225.055556 
3970 -62.000000 224.416667 
3980 -64.000000 228.486111 
3990 -62.000000 235.611111 
4000 -61.000000 238.541667 
4010 -61.000000 237.180556 
4020 -63.000000 236.013889 
4030 -62.000000 233.472222 
4040 -58.000000 234.777778 
4050 -60.000000 238.486111 
4060 -63.000000 239.208333 
4070 -63.000000 240.375000 
4080 -62.000000 236.027778 
4090 -60.000000 235.458333 
4100 -61.000000 233.416667 
4110 -64.000000 228.583333 
4120 -63.000000 236.166667 
4130 -61.000000 237.277778 
4140 -61.000000 242.388889 
4150 -62.000000 240.513889 
4160 -63.000000 240.361111 
4170 -61.000000 241.291667 
4180 -62.000000 238.888889 
4190 -63.000000 246.555556 
4200 -63.000000 248.819444 
4210 -61.000000 240.527778 
4220 -62.000000 246.180556 
4230 -63.000000 255.861111 
4240 -62.000000 267.180556 
4250 -64.000000 259.680556 
4260 -64.000000 260.791667 
4270 -64.000000 262.347222 
4280 -64.000000 262.388889 
4290 -62.000000 264.250000 
4300 -62.000000 263.277778 
4310 -61.000000 258.694444 
4320 -64.000000 256.736111 
4330 -63.000000 257.513889 
4340 -65.000000 259.083333 
4350 -62.000000 256.305556 
4360 -65.000000 257.750000 
4370 -61.000000 257.888889 
4380 -61.000000 253.152778 
4390 -60.000000 256.013889 
4400 -57.000000 253.291667 
4410 -58.000000 252.680556 
4420 -62.000000 249.055556 
4430 -62.000000 247.083333 
4440 -62.000000 249.069444 
4450 -58.000000 245.250000 
4460 -61.000000 241.083333 
4470 -58.000000 236.263889 
4480 -61.000000 239.097222 
4490 -60.000000 240.319444 
4500 -61.000000 235.791667 
4510 -61.000000 244.486111 
4520 -62.000000 241.458333 
4530 -58.000000 245.652778 
4540 -59.000000 246.027778 
4550 -64.000000 246.097222 
4560 -61.000000 246.041667 
4570 -62.000000 252.847222 
4580 -61.000000 252.097222 
4590 -63.000000 257.638889 
4600 -62.000000 256.986111 
4610 -60.000000 253.250000 
4620 -61.000000 253.180556 
4630 -60.000000 255.888889 
4640 -58.000000 256.486111 
4650 -61.000000 255.430556 
4660 -61.000000 254.458333 
4670 -62.000000 251.319444 
4680 -60.000000 251.375000 
4690 -61.000000 251.111111 
4700 -59.000000 253.694444 
4710 -60.000000 257.222222 
4720 -63.000000 259.430556 
4730 -62.000000 258.402778 
4740 -62.000000 259.777778 
4750 -61.000000 259.069444 
4760 -63.000000 261.041667 
4770 -61.000000 264.138889 
4780 -58.000000 266.416667 
4790 -59.000000 256.736111 
4800 -60.000000 256.541667 
4810 -57.000000 256.263889 
4820 -58.000000 262.666667 
4830 -58.000000 268.222222 
4840 -58.000000 273.125000 
4850 -60.000000 277.833333 
4860 -60.000000 276.000000 
4870 -61.000000 274.430556 
4880 -62.000000 290.861111 
4890 -59.000000 295.694444 
4900 -61.000000 298.319444 
4910 -62.000000 300.625000 
4920 -62.000000 297.875000 
4930 -59.000000 300.402778 
4940 -63.000000 301.500000 
4950 -61.000000 298.666667 
4960 -63.000000 296.277778 
4970 -64.000000 294.430556 
4980 -65.000000 296.305556 
4990 -63.000000 296.569444 
5000 -62.000000 295.291667 
5010 -61.000000 294.361111 
5020 -60.000000 292.305556 
5030 -59.000000 297.555556 
5040 -59.000000 301.500000 
5050 -61.000000 309.805556 
5060 -62.000000 319.375000 
5070 -62.000000 315.958333 
5080 -62.000000 319.236111 
5090 -63.000000 324.930556 
5100 -62.000000 326.333333 
5110 -59.000000 316.388889 
5120 -63.000000 315.736111 
5130 -59.000000 312.347222 
5140 -62.000000 313.472222 
5150 -60.000000 321.319444 
5160 -59.000000 332.597222 
5170 -58.000000 327.472222 
5180 -59.000000 320.513889 
5190 -60.000000 323.986111 
5200 -59.000000 333.055556 
5210 -59.000000 341.708333 
5220 -60.000000 344.597222 
5230 -62.000000 345.486111 
5240 -61.000000 335.611111 
5250 -61.000000 337.333333 
5260 -62.000000 335.361111 
5270 -62.000000 336.513889 
5280 -63.000000 334.722222 
5290 -61.000000 338.347222 
5300 -61.000000 339.916667 
5310 -63.000000 343.097222 
5320 -64.000000 349.138889 
5330 -60.000000 345.152778 
5340 -63.000000 339.055556 
5350 -63.000000 339.569444 
5360 -63.000000 339.361111 
5370 -65.000000 335.930556 
5380 -64.000000 334.041667 
5390 -64.000000 338.583333 
5400 -65.000000 340.972222 
5410 -65.000000 348.666667 
5420 -64.000000 344.416667 
5430 -67.000000 348.527778 
5440 -65.000000 342.263889 
5450 -65.000000 334.250000 
5460 -63.000000 338.666667 
5470 -64.000000 340.416667 
5480 -63.000000 343.055556 
5490 -62.000000 348.041667 
5500 -65.000000 357.708333 
5510 -65.000000 353.888889 
5520 -67.000000 358.333333 
5530 -68.000000 358.819444 
5540 -66.000000 361.652778 
5550 -65.000000 360.430556 
5560 -65.000000 354.680556 
5570 -63.000000 351.041667 
5580 -66.000000 357.902778 
5590 -63.000000 359.180556 
5600 -63.000000 367.416667 
5610 -66.000000 366.791667 
5620 -64.000000 358.569444 
5630 -63.000000 361.180556 
5640 -63.000000 357.111111 
5650 -63.000000 361.777778 
5660 -63.000000 355.777778 
5670 -63.000000 359.083333 
5680 -65.000000 359.763889 
5690 -61.000000 360.027778 
5700 -61.000000 362.958333 
5710 -62.000000 368.291667 
5720 -66.000000 365.763889 
5730 -64.000000 360.527778 
5740 -64.000000 366.763889 
5750 -62.000000 364.750000 
5760 -63.000000 368.277778 
5770 -62.000000 372.361111 
5780 -64.000000 377.291667 
5790 -64.000000 369.208333 
5800 -63.000000 372.083333 
5810 -63.000000 372.236111 
5820 -64.000000 376.638889 
5830 -63.000000 371.805556 
5840 -63.000000 373.041667 
5850 -62.000000 376.361111 
5860 -62.000000 374.333333 
5870 -60.000000 364.152778 
5880 -62.000000 360.680556 
5890 -64.000000 358.208333 
5900 -60.000000 361.194444 
5910 -62.000000 375.708333 
5920 -62.000000 367.736111 
5930 -62.000000 372.416667 
5940 -63.000000 375.000000 
5950 -64.000000 381.305556 
5960 -62.000000 376.875000 
5970 -62.000000 367.458333 
5980 -63.000000 370.736111 
5990 -62.000000 377.388889 
6000 -62.000000 370.958333 
6010 -62.000000 363.277778 
6020 -63.000000 375.472222 
6030 -63.000000 373.138889 
6040 -60.000000 375.097222 
6050 -59.000000 368.000000 
6060 -64.000000 374.027778 
6070 -62.000000 382.152778 
6080 -63.000000 369.125000 
6090 -61.000000 362.944444 
6100 -63.000000 367.902778 
6110 -62.000000 363.722222 
6120 -61.000000 369.388889 
6130 -61.000000 373.444444 
6140 -60.000000 370.013889 
6150 -61.000000 382.180556 
6160 -63.000000 375.861111 
6170 -62.000000 369.541667 
6180 -62.000000 373.861111 
6190 -64.000000 370.916667 
6200 -63.000000 365.180556 
6210 -60.000000 356.861111 
6220 -63.000000 347.916667 
6230 -59.000000 348.958333 
6240 -64.000000 352.875000 
6250 -60.000000 358.555556 
6260 -63.000000 355.444444 
6270 -63.000000 364.666667 
6280 -62.000000 360.500000 
6290 -64.000000 360.416667 
6300 -61.000000 359.805556 
6310 -61.000000 365.208333 
6320 -61.000000 368.208333 
6330 -63.000000 360.291667 
6340 -63.000000 359.111111 
6350 -60.000000 362.541667 
6360 -64.000000 357.250000 
6370 -62.000000 352.708333 
6380 -62.000000 352.902778 
6390 -61.000000 353.583333 
6400 -59.000000 359.416667 
6410 -59.000000 352.527778 
6420 -58.000000 357.611111 
6430 -58.000000 356.541667 
6440 -60.000000 359.180556 
6450 -59.000000 366.083333 
6460 -61.000000 362.875000 
6470 -59.000000 372.611111 
6480 -62.000000 378.000000 
6490 -62.000000 375.944444 
6500 -65.000000 380.333333 
6510 -64.000000 376.819444 
6520 -66.000000 383.500000 
6530 -66.000000 389.361111 
6540 -64.000000 387.444444 
6550 -65.000000 384.319444 
6560 -64.000000 390.500000 
6570 -63.000000 393.013889 
6580 -59.000000 385.722222 
6590 -64.000000 391.750000 
6600 -61.000000 404.180556 
6610 -63.000000 396.430556 
6620 -63.000000 385.972222 
6630 -60.000000 391.319444 
6640 -63.000000 396.486111 
6650 -63.000000 401.111111 
6660 -65.000000 396.180556 
6670 -65.000000 397.194444 
6680 -61.000000 389.652778 
6690 -64.000000 396.402778 
6700 -64.000000 396.125000 
6710 -65.000000 386.111111 
6720 -64.000000 381.208333 
6730 -65.000000 383.763889 
6740 -63.000000 392.638889 
6750 -64.000000 395.722222 
6760 -67.000000 398.541667 
6770 -66.000000 397.750000 
6780 -65.000000 403.597222 
6790 -64.000000 399.513889 
6800 -65.000000 392.638889 
6810 -65.000000 397.305556 
6820 -61.000000 398.652778 
6830 -62.000000 390.527778 
6840 -61.000000 392.513889 
6850 -62.000000 383.569444 
6860 -62.000000 393.333333 
6870 -63.000000 400.013889 
6880 -61.000000 400.736111 
6890 -63.000000 399.847222 
6900 -63.000000 404.208333 
6910 -64.000000 418.194444 
6920 -63.000000 409.472222 
6930 -62.000000 414.486111 
6940 -61.000000 408.222222 
6950 -62.000000 413.333333 
6960 -60.000000 400.958333 
6970 -63.000000 399.638889 
6980 -63.000000 404.250000 
6990 -63.000000 397.680556 
7000 -62.000000 395.652778 
7010 -64.000000 396.694444 
7020 -61.000000 395.486111 
7030 -63.000000 401.736111 
7040 -65.000000 406.875000 
7050 -63.000000 400.069444 
7060 -64.000000 402.777778 
7070 -62.000000 405.652778 
7080 -65.000000 402.375000 
7090 -62.000000 396.791667 
7100 -62.000000 399.472222 
7110 -62.000000 404.305556 
7120 -62.000000 403.402778 
7130 -62.000000 412.527778 
7140 -63.000000 411.750000 
7150 -66.000000 420.972222 
7160 -63.000000 422.597222 
7170 -62.000000 421.527778 
7180 -62.000000 418.833333 
7190 -61.000000 433.319444 
7200 -61.000000 431.486111 
7210 -65.000000 425.472222 
7220 -65.000000 427.708333 
7230 -64.000000 428.069444 
7240 -64.000000 432.347222 
7250 -63.000000 441.541667 
7260 -61.000000 439.722222 
7270 -61.000000 450.013889 
7280 -61.000000 447.291667 
7290 -62.000000 440.152778 
7300 -61.000000 441.000000 
7310 -60.000000 442.847222 
7320 -64.000000 445.722222 
7330 -65.000000 445.986111 
7340 -61.000000 443.430556 
7350 -62.000000 443.444444 
7360 -62.000000 448.763889 
7370 -62.000000 448.750000 
7380 -63.000000 454.055556 
7390 -63.000000 455.597222 
7400 -64.000000 460.708333 
7410 -66.000000 463.666667 
7420 -66.000000 460.666667 
7430 -61.000000 451.625000 
7440 -62.000000 451.597222 
7450 -62.000000 454.680556 
7460 -63.000000 456.847222 
7470 -65.000000 452.527778 
7480 -63.000000 453.083333 
7490 -62.000000 452.041667 
7500 -63.000000 461.194444 
7510 -61.000000 475.152778 
7520 -63.000000 464.111111 
7530 -63.000000 468.388889 
7540 -63.000000 471.208333 
7550 -60.000000 472.958333 
7560 -62.000000 465.805556 
7570 -63.000000 475.444444 
7580 -66.000000 474.597222 
7590 -63.000000 472.944444 
7600 -63.000000 477.263889 
7610 -62.000000 479.375000 
7620 -60.000000 473.888889 
7630 -60.000000 463.055556 
7640 -62.000000 462.763889 
7650 -60.000000 452.583333 
7660 -58.000000 457.152778 
7670 -62.000000 456.180556 
7680 -62.000000 458.750000 
7690 -61.000000 462.805556 
7700 -60.000000 459.694444 
7710 -59.000000 460.208333 
7720 -55.000000 462.000000 
7730 -59.000000 468.361111 
7740 -57.000000 474.194444 
7750 -60.000000 467.513889 
7760 -60.000000 482.222222 
7770 -60.000000 485.930556 
7780 -62.000000 488.097222 
7790 -63.000000 500.708333 
7800 -61.000000 500.236111 
7810 -60.000000 492.305556 
7820 -61.000000 484.000000 
7830 -63.000000 475.500000 
7840 -63.000000 480.069444 
7850 -56.000000 479.708333 
7860 -62.000000 483.541667 
7870 -61.000000 487.555556 
7880 -58.000000 488.555556 
7890 -60.000000 489.166667 
7900 -62.000000 478.513889 
7910 -60.000000 490.458333 
7920 -57.000000 487.972222 
7930 -60.000000 487.097222 
7940 -60.000000 486.305556 
7950 -60.000000 487.777778 
7960 -59.000000 482.833333 
7970 -58.000000 486.319444 
7980 -61.000000 490.291667 
7990 -61.000000 482.125000 
8000 -60.000000 489.180556 
8010 -61.000000 488.222222 
8020 -63.000000 479.750000 
8030 -64.000000 481.152778 
8040 -62.000000 488.902778 
8050 -62.000000 485.791667 
8060 -62.000000 481.722222 
8070 -62.000000 482.444444 
8080 -63.000000 485.222222 
8090 -61.000000 496.583333 
8100 -61.000000 491.958333 
8110 -63.000000 487.513889 
8120 -63.000000 481.930556 
8130 -61.000000 484.763889 
8140 -62.000000 479.819444 
8150 -63.000000 478.916667 
8160 -62.000000 478.708333 
8170 -62.000000 474.500000 
8180 -62.000000 473.666667 
8190 -61.000000 476.305556 
8200 -61.000000 482.527778 
8210 -62.000000 479.916667 
8220 -61.000000 471.805556 
8230 -60.000000 473.750000 
8240 -60.000000 460.569444 
8250 -63.000000 464.694444 
8260 -62.000000 466.819444 
8270 -60.000000 465.875000 
8280 -61.000000 469.277778 
8290 -62.000000 472.263889 
8300 -60.000000 470.305556 
8310 -63.000000 468.583333 
8320 -60.000000 465.430556 
8330 -63.000000 464.527778 
8340 -64.000000 460.513889 
8350 -65.000000 465.333333 
8360 -62.000000 461.791667 
8370 -63.000000 461.597222 
8380 -60.000000 471.291667 
8390 -62.000000 475.819444 
8400 -62.000000 476.291667 
8410 -63.000000 475.236111 
8420 -65.000000 474.236111 
8430 -64.000000 473.416667 
8440 -65.000000 468.875000 
8450 -64.000000 468.888889 
8460 -62.000000 460.069444 
8470 -61.000000 462.638889 
8480 -61.000000 463.902778 
8490 -62.000000 464.444444 
8500 -58.000000 468.777778 
8510 -61.000000 482.361111 
8520 -60.000000 481.666667 
8530 -60.000000 482.430556 
8540 -60.000000 481.291667 
8550 -60.000000 476.263889 
8560 -61.000000 470.472222 
8570 -61.000000 479.638889 
8580 -59.000000 477.708333 
8590 -58.000000 475.652778 
8600 -59.000000 491.138889 
8610 -60.000000 488.069444 
8620 -61.000000 498.000000 
8630 -59.000000 495.486111 
8640 -63.000000 494.166667 
8650 -63.000000 494.041667 
8660 -63.000000 493.680556 
8670 -61.000000 485.916667 
8680 -63.000000 483.388889 
8690 -64.000000 481.888889 
8700 -64.000000 485.569444 
8710 -61.000000 476.472222 
8720 -60.000000 460.472222 
8730 -61.000000 464.652778 
8740 -62.000000 472.180556 
8750 -63.000000 468.472222 
8760 -64.000000 469.680556 
8770 -62.000000 472.736111 
8780 -62.000000 465.708333 
8790 -64.000000 463.986111 
8800 -61.000000 477.944444 
8810 -62.000000 481.708333 
8820 -65.000000 477.791667 
8830 -65.000000 477.569444 
8840 -65.000000 479.111111 
8850 -64.000000 474.750000 
8860 -61.000000 490.458333 
