# GRU - Simulação de Monte Carlo para o Gas de Rede Unidimensional. LCC/PPG-CIMA/FUP/UnB.
# Versão: 2015.09.30

# Parâmetros da simulação:
# ./gru -r -L 100 -N 72 -t 10000 -s 10 -T 0.4 -a dados/teste-novo.dat 

2110 -61.000000 176.430556 
2120 -62.000000 178.486111 
2130 -63.000000 174.152778 
2140 -64.000000 180.361111 
2150 -61.000000 181.402778 
2160 -60.000000 174.430556 
2170 -61.000000 173.305556 
2180 -60.000000 174.930556 
2190 -63.000000 172.972222 
2200 -65.000000 165.666667 
2210 -64.000000 171.375000 
2220 -63.000000 169.236111 
2230 -63.000000 170.736111 
2240 -62.000000 171.722222 
2250 -63.000000 165.847222 
2260 -64.000000 174.347222 
2270 -64.000000 177.986111 
2280 -61.000000 181.986111 
2290 -61.000000 183.305556 
2300 -64.000000 183.069444 
2310 -63.000000 185.513889 
2320 -62.000000 178.708333 
2330 -60.000000 172.361111 
2340 -63.000000 173.083333 
2350 -63.000000 174.750000 
2360 -65.000000 182.833333 
2370 -63.000000 185.541667 
2380 -63.000000 187.597222 
2390 -61.000000 189.180556 
2400 -62.000000 188.888889 
2410 -61.000000 195.430556 
2420 -62.000000 195.347222 
2430 -65.000000 196.222222 
2440 -61.000000 196.569444 
2450 -61.000000 193.736111 
2460 -61.000000 197.791667 
2470 -64.000000 195.986111 
2480 -61.000000 195.569444 
2490 -65.000000 195.486111 
2500 -63.000000 195.097222 
2510 -63.000000 194.875000 
2520 -64.000000 196.027778 
2530 -64.000000 199.777778 
2540 -63.000000 201.319444 
2550 -64.000000 198.694444 
2560 -65.000000 200.138889 
2570 -66.000000 202.819444 
2580 -66.000000 206.972222 
2590 -66.000000 204.875000 
2600 -62.000000 198.486111 
2610 -62.000000 210.069444 
2620 -65.000000 214.388889 
2630 -62.000000 216.333333 
2640 -62.000000 215.611111 
2650 -61.000000 217.652778 
2660 -63.000000 219.208333 
2670 -62.000000 224.416667 
2680 -61.000000 217.125000 
2690 -61.000000 215.638889 
2700 -59.000000 221.680556 
2710 -62.000000 233.055556 
2720 -60.000000 232.763889 
2730 -63.000000 235.513889 
2740 -60.000000 236.138889 
2750 -63.000000 233.513889 
2760 -62.000000 236.097222 
2770 -60.000000 237.083333 
2780 -60.000000 240.958333 
