

# Relatório de Simulação.
# GRU - Gás de Rede Unidimensional
# Parâmetros da simulação:
# ./gru -r -l 100 -N 72 -t 10000 -s 10 -T 0.4 -a teste.dat 

2140 -62.000000 170.666667 
2150 -58.000000 167.416667 
2160 -60.000000 167.430556 
2170 -61.000000 168.416667 
2180 -62.000000 173.319444 
2190 -59.000000 172.694444 
2200 -63.000000 177.750000 
2210 -64.000000 177.888889 
2220 -63.000000 178.111111 
2230 -62.000000 173.541667 
2240 -61.000000 177.347222 
2250 -60.000000 174.000000 
2260 -61.000000 184.611111 
2270 -62.000000 183.111111 
2280 -61.000000 183.930556 
2290 -63.000000 179.138889 
2300 -61.000000 178.569444 
2310 -63.000000 180.097222 
2320 -62.000000 185.444444 
2330 -61.000000 185.791667 
2340 -60.000000 185.652778 
2350 -57.000000 192.416667 
2360 -61.000000 194.208333 
2370 -61.000000 186.972222 
2380 -62.000000 188.583333 
2390 -63.000000 187.791667 
2400 -62.000000 191.180556 
2410 -62.000000 189.083333 
2420 -63.000000 195.263889 
2430 -60.000000 198.472222 
2440 -61.000000 202.152778 
2450 -61.000000 199.097222 
2460 -60.000000 201.625000 
2470 -57.000000 197.138889 
2480 -60.000000 187.111111 
2490 -63.000000 196.402778 
2500 -61.000000 196.486111 
2510 -64.000000 194.138889 
2520 -64.000000 196.541667 
2530 -61.000000 194.902778 
2540 -61.000000 198.027778 
2550 -62.000000 192.472222 
2560 -63.000000 194.833333 
2570 -64.000000 195.958333 
2580 -62.000000 192.513889 
2590 -62.000000 197.458333 
2600 -63.000000 200.305556 
2610 -61.000000 199.166667 
2620 -63.000000 203.125000 
2630 -60.000000 208.430556 
2640 -64.000000 210.652778 
2650 -65.000000 206.388889 
2660 -65.000000 208.875000 
2670 -66.000000 209.652778 
2680 -65.000000 205.958333 
2690 -67.000000 210.180556 
2700 -66.000000 213.402778 
2710 -65.000000 213.875000 
2720 -64.000000 209.222222 
2730 -63.000000 203.555556 
2740 -63.000000 206.986111 
2750 -63.000000 204.416667 
2760 -60.000000 208.958333 
2770 -60.000000 203.680556 
2780 -62.000000 204.180556 
2790 -61.000000 206.555556 
2800 -60.000000 210.388889 
2810 -60.000000 211.361111 
2820 -60.000000 215.027778 
2830 -62.000000 213.972222 
2840 -62.000000 231.194444 
2850 -60.000000 221.736111 
2860 -59.000000 224.305556 
2870 -62.000000 225.291667 
2880 -58.000000 228.347222 
2890 -56.000000 232.958333 
2900 -61.000000 247.125000 
2910 -62.000000 246.263889 
2920 -62.000000 253.319444 
2930 -63.000000 251.111111 
2940 -59.000000 249.500000 
2950 -62.000000 253.263889 
2960 -61.000000 255.277778 
2970 -61.000000 260.805556 
2980 -61.000000 263.250000 
2990 -60.000000 266.541667 
3000 -60.000000 263.541667 
3010 -61.000000 261.750000 
3020 -62.000000 267.138889 
3030 -64.000000 265.583333 
3040 -64.000000 270.513889 
3050 -62.000000 273.680556 
3060 -61.000000 271.694444 
3070 -62.000000 271.513889 
3080 -62.000000 272.625000 
3090 -59.000000 268.791667 
3100 -62.000000 267.916667 
3110 -65.000000 270.138889 
3120 -60.000000 273.361111 
3130 -61.000000 276.027778 
3140 -63.000000 282.694444 
3150 -63.000000 285.125000 
3160 -64.000000 289.500000 
3170 -62.000000 286.541667 
3180 -64.000000 290.666667 
3190 -66.000000 292.444444 
3200 -63.000000 297.861111 
3210 -64.000000 297.486111 
3220 -62.000000 294.847222 
3230 -63.000000 303.208333 
3240 -61.000000 298.000000 
3250 -61.000000 293.416667 
3260 -61.000000 292.791667 
3270 -63.000000 294.638889 
3280 -62.000000 293.694444 
3290 -63.000000 295.361111 
3300 -62.000000 296.888889 
3310 -64.000000 293.500000 
3320 -64.000000 296.250000 
3330 -62.000000 303.750000 
3340 -62.000000 307.500000 
3350 -63.000000 309.069444 
3360 -62.000000 314.763889 
3370 -61.000000 311.763889 
3380 -63.000000 307.166667 
3390 -64.000000 306.416667 
3400 -64.000000 309.666667 
3410 -62.000000 313.458333 
3420 -63.000000 307.555556 
3430 -65.000000 311.694444 
3440 -62.000000 312.430556 
3450 -61.000000 316.666667 
3460 -64.000000 318.500000 
3470 -58.000000 319.208333 
3480 -62.000000 322.416667 
3490 -62.000000 323.569444 
3500 -65.000000 321.013889 
3510 -65.000000 325.875000 
3520 -63.000000 322.750000 
3530 -63.000000 317.722222 
3540 -63.000000 314.055556 
3550 -60.000000 307.291667 
3560 -62.000000 303.763889 
3570 -61.000000 303.027778 
3580 -62.000000 297.555556 
3590 -62.000000 305.166667 
3600 -63.000000 303.722222 
3610 -59.000000 299.166667 
3620 -61.000000 295.888889 
3630 -58.000000 295.347222 
3640 -63.000000 299.083333 
3650 -64.000000 298.277778 
3660 -61.000000 301.875000 
3670 -63.000000 302.819444 
3680 -64.000000 302.416667 
3690 -61.000000 301.555556 
